id,city,lat,long,pop
1,Nueva Cajamarca,-5.946466,-77.303723,460325
2,San Agustín,14.8182209,-88.9377949,1032308
3,Sucun,34.423878,110.947552,953776
4,Pianbai,21.514163,111.013556,889867
5,Kenzhe,43.4997666,43.5537167,576589
6,Huashixia,36.878124,102.149548,1299544
7,Xiabaishi,41.305838,124.120286,402274
8,Povarovo,56.071894,37.0625324,1389869
9,Novouzensk,50.4438122,48.1450932,748290
10,Cilimus Kulon,-6.8546403,107.4293388,298119
11,Mirandopólis,-22.9304477,-47.0897445,331132
12,Ángeles,10.0749997,-84.2415229,443237
13,Corujeira,41.2357155,-8.4171648,739683
14,Zhelin,29.2642495,115.3133908,950080
15,Pancol,10.9005556,119.4011078,617392
16,Nizui,42.280524,118.928688,169069
17,Ivano-Frankove,49.9202398,23.7240855,1396726
18,Mobai,8.3,-11.983333,362703
19,San Silvestre,8.2796966,-70.109113,493731
20,Ghurayd Gharamē,36.5222,70.79064,969902
21,Orda,57.1928469,56.9199638,1380606
22,Krolevets’,51.5489435,33.3860497,387265
23,Kitcharao,9.453835,125.574534,1305809
24,Neglasari,-6.147133,106.6232359,700804
25,Waalwijk,51.6773339,5.0633742,1226563
26,A’yi Take,44.4286616,125.1864669,483084
27,Stari Kuty,48.2824698,25.1584914,1196363
28,Capâo Bonito,-24.0021525,-48.3502883,656673
29,Líně,49.7030481,13.2772423,855533
30,Arani,-17.5706623,-65.7698663,447084
31,Oued Lill,36.83408,10.04057,1306546
32,Santa Rita,-7.135868,-34.9662353,1312294
33,Rushanzhai,36.886546,121.456161,513153
34,Valle de La Pascua,9.2217178,-65.9794807,157269
35,Oslo,59.9403761,10.7691773,1352766
36,Auxerre,47.794456,3.5751746,668265
37,Figueira,37.0741297,-8.8436815,615452
38,San Diego,9.9010414,-83.9977527,1420442
39,Boshan,36.494701,117.861851,723908
40,Mazatenango,14.5324564,-91.512542,491696
41,Xinquan,27.519549,114.073416,333695
42,Jetis,-7.783297,110.363649,152446
43,Sandefjord,59.1477457,10.1916192,766549
44,Santa Cruz,14.9817467,-87.8893383,334169
45,Bendosari,-7.6977621,110.8910556,876345
46,Aix-en-Provence,43.5190858,5.4431946,583280
47,Powidz,52.4127967,17.9186809,471939
