id,city,country,lat,long,income
1,Uhniv,UA,50.3649126,23.7519532,51144.25
2,Ngala,NG,12.3420676,14.1858272,90206.96
3,Guimarães,PT,41.4610499,-8.2673764,26056.33
4,Stockholm,SE,59.3203432,18.0667845,37750.38
5,Marintoc,PH,12.3109644,123.6781612,66197.74
6,Yläne,FI,60.7428382,22.5352853,92796.43
7,Sala,SE,59.8292954,16.5457017,97385.14
8,Sovetskaya,RU,44.0271757,44.0430569,34834.76
9,Oinófyta,GR,38.3080648,23.6391172,80301.38
10,Yushanpu,CN,27.135999,111.106104,83141.15
11,Granada,CO,4.524233,-74.356481,49221.50
12,Donghoufang,CN,38.174362,114.908822,35815.44
13,Pereval'noe,UA,44.849143,34.3106713,57943.86
14,Laozhuang,CN,34.810487,117.323725,21574.06
15,Agnibilékrou,CI,7.1302807,-3.2030756,79037.88
16,Xom Tan Long,VN,8.99214,105.19602,31378.96
17,Fengping,CN,27.632803,111.793796,37466.08
18,Huatai,CN,31.302134,109.655804,55682.31
19,Loja,EC,-4.0078909,-79.2112769,29698.17
20,Uzunovo,RU,54.5442039,38.6199751,35751.04
21,Madīnat ash Shamāl,QA,25.9210961,51.3385684,21964.48
22,Bacolod,PH,14.4400324,121.0299296,83797.23
23,Dianfang,CN,22.5341348,114.1162219,90028.68
24,Neuilly-sur-Seine,FR,48.8809869,2.2760839,99142.86
25,Xiaochi,CN,39.9459413,116.3817634,79878.90
26,Gondang,ID,-7.4417327,111.1056539,87675.86
27,Krasnomayskiy,RU,57.6194,34.40988,81888.11
28,Chrást,CZ,49.7923299,13.4915324,65895.96
29,Narutochō-mitsuishi,JP,34.1990503,134.6086469,50172.01
30,Karangbayat,ID,-8.0663604,113.4418908,49309.31
31,Xunzhong,CN,25.493594,118.247625,31305.68
32,Yangshan,CN,24.466675,112.626495,96942.94
33,Varnsdorf,CZ,50.9115477,14.6182476,75182.90
34,Maripa,VE,7.4154444,-65.1892471,44368.91
35,Marcovia,HN,13.2910707,-87.3003706,30181.11
36,Odintsovo,RU,55.7387411,37.2504677,82841.78
37,Kimitsu,JP,34.6372754,134.0105824,43673.55
38,Anuling,PH,14.1507357,120.878102,28041.38
39,Macheng,CN,31.172739,115.008163,96823.31
40,Komysh-Zorya,UA,47.3292629,36.6901351,42429.26
41,Frankfurt am Main,DE,50.1157078,8.6591469,48165.04
42,Baoluan,CN,29.758227,107.687866,90248.26
43,Looc,PH,12.261245,121.990929,85540.97
44,Tanjung,ID,-8.4114856,116.1713917,72208.44
45,Cerrillos,AR,-32.972878,-60.6916164,90783.08
46,Stuttgart,DE,48.7226206,9.1584836,94769.40
47,Novoaleksandrovsk,RU,45.4885295,41.1600688,62252.72
48,Adzopé,CI,6.1071457,-3.8553507,95531.57
49,Ignacio Zaragoza,MX,19.1780491,-96.1288426,50312.72
50,Bereeda,SO,11.8700773,51.0586345,85074.82
51,Stockholm,SE,59.3378401,18.0550026,20542.43
52,Mawza‘,YE,13.26831,43.50993,94989.99
53,Macedo de Cavaleiros,PT,41.5370005,-6.9617993,21988.95
54,Banos,PH,37.0594675,-120.8204617,62954.00
55,Kolonia Town,FM,6.9641667,158.2083333,25619.25
56,Gununggoong,ID,-7.3194701,108.2069101,55777.41
57,Penhascoso,PT,39.5435798,-8.0379136,79886.24
58,Santa Rita do Passa Quatro,BR,-21.7096172,-47.4696376,29596.95
59,Orikhiv,UA,47.5658802,35.7876745,36362.42
60,Guluoshan,CN,29.57858,110.191933,23400.38
61,Bojongnangka,ID,-6.9070543,109.3575011,77803.07
62,Balatero,PH,13.5074239,120.9274735,96423.93
63,Laventille,TT,10.6485481,-61.495357,20974.97
64,Matina,CR,10.21883,-83.274957,63189.65
